10.49,0.0,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,Indianapolis* IN (USA),16 JUL 1988
10.76,+1.7,Evelyn ASHFORD,15 APR 1957,USA,Z?rich (SUI),22 AUG 1984
10.79,+0.6,Evelyn ASHFORD,15 APR 1957,USA,Colorado Springs* CO (USA),03 JUL 1983
10.81,+1.7,Marlies G?HR,21 MAR 1958,GDR,Berlin (GER),08 JUN 1983
10.88,+1.9,Marlies G?HR,21 MAR 1958,GDR,Karl Marx Stadt (GDR),09 JUL 1982
10.88,+2.0,Marlies OELSNER,21 MAR 1958,GDR,Dresden (GER),01 JUL 1977
11.01,+0.6,Annegret RICHTER,13 OCT 1950,FRG,Olympic Stadium* Montr?al (CAN),25 JUL 1976
11.04,+0.6,Ingeborg HELTEN,31 DEC 1950,FRG,F?rth (GER),13 JUN 1976
11.07,-0.2,Renate STECHER,12 MAY 1950,GDR,Olympiastadion* M?nchen (GER),02 SEP 1972
11.08,+1.2,Wyomia TYUS,29 AUG 1945,USA,Estadio Ol?mpico* Ciudad de M?xico (MEX),15 OCT 1968
11.20,+1.8,Irena SZEWI?SKA,24 MAY 1946,POL,Estadio Ol?mpico* Ciudad de M?xico (MEX),14 OCT 1968
11.1h,0.0,Lyudmila SAMOTYOSOVA,26 OCT 1939,URS,Leninakan (URS),15 AUG 1968
11.1h,+0.3,Barbara FERRELL,28 JUL 1947,USA,Santa Barbara* CA (USA),02 JUL 1967
11.1h,+0.2,Wyomia TYUS,29 AUG 1945,USA,Kiev (URS),31 JUL 1965
11.1h,+2.0,Irena KIRSZENSTEIN,24 MAY 1946,POL,Praha (TCH),09 JUL 1965
11.2h,+0.3,Wyomia TYUS,29 AUG 1945,USA,National Stadium* Tokyo (JPN),15 OCT 1964
11.2h,+0.7,Wilma RUDOLPH,23 JUN 1940,USA,Stuttgart (GER),19 JUL 1961
11.3h,+0.8,Wilma RUDOLPH,23 JUN 1940,USA,Stadio Olimpico* Roma (ITA),02 SEP 1960
11.3h,+1.4,Vera KREPKINA,15 APR 1933,URS,Kiev (URS),13 SEP 1958
