5.96,,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP),09 FEB 1995
6.00,,Merlene OTTEY,10 MAY 1960,JAM,Moskva (RUS),04 FEB 1994
6.03,,Irina PRIVALOVA,22 NOV 1968,RUS,Moskva (RUS),01 FEB 1994
6.04,,Irina PRIVALOVA,22 NOV 1968,RUS,Grenoble (FRA),07 FEB 1993
6.05,,Irina PRIVALOVA,22 NOV 1968,RUS,Moskva (RUS),02 FEB 1993
6.09,,Zhanna TARNOPOLSKAYA,06 JUL 1972,UKR,Moskva (RUS),02 FEB 1993
6.11,,Marita KOCH,18 FEB 1957,GDR,Grenoble (FRA),02 FEB 1980
6.92,,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP),09 FEB 1995
6.92,,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP),11 FEB 1993
6.96,,Merlene OTTEY,10 MAY 1960,JAM,Madrid (ESP),14 FEB 1992
7.00,,Nelli COOMAN,06 JUN 1964,NED,Palacio de Deportes* Madrid (ESP),23 FEB 1986
6.92,,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP),09 FEB 1995
6.92,,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP),11 FEB 1993
6.96,,Merlene OTTEY,10 MAY 1960,JAM,Madrid (ESP),14 FEB 1992
7.00,,Nelli COOMAN,06 JUN 1964,NED,Palacio de Deportes* Madrid (ESP),23 FEB 1986
21.87,,Merlene OTTEY,10 MAY 1960,JAM,Li?vin (FRA),13 FEB 1993
22.24,,Merlene OTTEY,10 MAY 1960,JAM,Palacio de los Deportes* Sevilla (ESP),10 MAR 1991
22.24,,Merlene OTTEY,10 MAY 1960,JAM,Sindelfingen (GER),03 MAR 1991
22.27,,Heike DRECHSLER,16 DEC 1964,GDR,Hoosier Dome* Indianapolis* IN (USA),07 MAR 1987
49.59,,Jarmila KRATOCHV?LOV?,26 JAN 1951,TCH,Palazzo dello Sport* Milano (ITA),07 MAR 1982
1:55.82,,Jolanda ?EPLAK,12 SEP 1976,SLO,Ferry-Dusika-Halle* Wien (AUT),03 MAR 2002
1:56.40,,Christine WACHTEL,06 JAN 1965,GDR,Wien (AUT),13 FEB 1988
1:57.64,,Christine WACHTEL,06 JAN 1965,GDR,Torino (ITA),10 FEB 1988
1:58.42,,Sigrun WODARS,07 NOV 1965,GDR,Wien (AUT),01 FEB 1987
1:58.4h,,Olga VAKHRUSHEVA,26 NOV 1947,URS,Moskva (URS),17 FEB 1980
2:30.94,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Stockholm (SWE),25 FEB 1999
2:31.23,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Stockholm (SWE),25 FEB 1996
2:32.08,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Birmingham (GBR),10 FEB 1996
2:34.8h,,Brigitte KRAUS,12 AUG 1956,FRG,Dortmund (GER),19 FEB 1978
3:53.09,,Gudaf TSEGAY,23 JUN 1997,ETH,Arena Stade Couvert* Li?vin (FRA),09 FEB 2021
3:55.17,,Genzebe DIBABA,08 FEB 1991,ETH,Europahalle* Karlsruhe (GER),01 FEB 2014
3:58.28,,Yelena SOBOLEVA,03 OCT 1982,RUS,Moskva (RUS),18 FEB 2006
3:59.98,,Regina JACOBS,28 AUG 1963,USA,Boston* MA (USA),01 FEB 2003
